,hotel,star,review,preprocessed_review,date,star_label,helpful,sentiment
10,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,자주이용합니다 방음이 조금안되긴하지만 좋아요 ㅎㅎ,자주 이용합니다 방음이 조금 안되긴 하지만 좋아요 ,2021-07-22,1.0,0.0,긍정
11,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,"친절하고 청결하고 수영장에서 바라보는 성산일출봉도 멋짐... 성산 가면 꼭 여기 또 갈게요.
맛나식당도 가까워서 좋아요.",친절하고 청결하고 수영장에서 바라보는 성산일출봉도 멋짐 성산 가면 꼭 여기 또 갈게요 맛나 식당도 가까워서 좋아요,2021-07-22,1.0,1.0,긍정
12,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,이불에 얼룩이 있어서 좀 찝찝했어요,이불에 얼룩이 있어서 좀 찝찝했어요,2021-07-22,1.0,0.0,긍정
13,더 베스트 제주 성산(구 라마다 앙코르 성산),3.0,"편의점 1층에 있어서 편리합니다. 
8층에서 숙박했는데 방음이 안됩니다. 루프탑이용시간에는 쿵쿵 엄청소리납니다ㅠㅠ",편의점 층에 있어서 편리합니다 층에서 숙박했는데 방음이 안됩니다 루프탑 이용 시간에는 쿵쿵 엄청 소리 납니다,2021-07-22,0.0,1.0,긍정
14,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,"주차장이 다소 협소.
나머지는 좋았어요.",주차장이 다소 협소 나머지는 좋았어요,2021-07-18,1.0,1.0,긍정
15,더 베스트 제주 성산(구 라마다 앙코르 성산),3.0,"깔끔하니 좋았어요.
무난하게 갈만합니다.",깔끔하니 좋았어요 무난하게 갈만합니다,2021-07-16,0.0,0.0,긍정
16,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,직원분들이 친절하셨어요 후기 보고 성산일출봉뷰에 반해서 예약 했는데 저도 그 뷰를 보게 되어서 너무 좋았어요 숙소도 깔끔하고 엄마 모시고 갔는데 너무 좋아하셨어요 중간에 티비도 잘 작동 안되서 봐달라고 했는데 바로 와 주시고 다시 묵고 싶은 숙소입니다!,직원분들이 친절하셨어요 후기 보고 성산일출봉 경치에 반해서 예약했는데 저도 그 경치를 보게 되어서 너무 좋았어요 숙소도 깔끔하고 엄마 모시고 갔는데 너무 좋아하셨어요 중간에 티브이도 잘 작동 안 돼서 봐달라고 했는데 바로 와 주시고 다시 묵고 싶은 숙소입니다,2021-07-10,1.0,1.0,긍정
17,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,깔끈하고 위치도 좋아요! 주변에 보러다니기 위치 좋습니다,알끈하고 위치도 좋아요 주변에 보러 다니기 위치 좋습니다,2021-07-09,1.0,1.0,긍정
18,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,"자체 편의점이 있어서 편리 숙소도 깔끔
일회용 필수품 없는건 살짝 아쉽",자체 편의점이 있어서 편리 숙소도 깔끔 일회용 필수품 없는 건 살짝 아쉽,2021-07-08,1.0,1.0,긍정
19,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,정말 이 이상의 가성비 호텔은 없습니다. 잘 이용했습니다.,정말 이 이상의  구성비  호텔은 없습니다 잘 이용했습니다,2021-07-07,1.0,0.0,긍정
20,더 베스트 제주 성산(구 라마다 앙코르 성산),4.0,여행가서 하루쉬기 괜찮았아요~~^^*,여행 가서 하루 쉬기 괜찮았아요,2021-07-07,1.0,0.0,긍정
21,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,여태까지 묵은 숙소중에 젤 좁았지만 위치가 좋았어요ㅋㅋ,여태까지 묵은 숙소 중에 젤 좁았지만 위치가 좋았어요,2021-07-06,1.0,0.0,긍정
22,더 베스트 제주 성산(구 라마다 앙코르 성산),4.0,주차가 생각보다 어려워요. 조식은 저렴한 가격에 괜찮았습니다.프론트에 계시던 직원분들은 고객 응대에 조금 미숙한 거 같았습니다.,주차가 생각보다 어려워요 조식은 저렴한 가격에 괜찮았습니다 프런트에 계시던 직원분들은 고객 응대에 조금 미숙한 거 같았습니다,2021-07-04,1.0,1.0,긍정
23,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,생각보다 너무 좋았습니다 깔끔하고 방도 업그레이드 해주셔서 좋았어요! 다음에는 날짜 맞춰서 루프탑 이용도 해보고싶습니다!,생각보다 너무 좋았습니다 깔끔하고 방도 업그레이드해주셔서 좋았어요 다음에는 날짜 맞춰서 루프탑 이용도 해보고 싶습니다,2021-07-04,1.0,1.0,긍정
24,더 베스트 제주 성산(구 라마다 앙코르 성산),3.0,"침대는 잠도 잘 오고 괜찮았어요
근데 욕실은 곰팡이도 보이고 ㅠㅠ 너무 별로였어요..
커튼은 왜 이렇게 더러운걸까요…? 이유가 궁금..
방음 안된다는 후기가 많아서 엄청 걱정했는데
복도 소리가 잘 들리긴 하지만 밤엔 조용해서 잘 잤어요
그래도 생각보단 2일 잘 지낸것같은데 재방문은 안할것같아요더보기",침대는 잠도 잘 오고 괜찮았어요 근데 욕실은 곰팡이도 보이고  너무 별로였어요 커튼은 왜 이렇게 더러운 걸까요 이유가 궁금 방음 안된다는 후기가 많아서 엄청 걱정했는데 복도 소리가 잘 들리긴 하지만 밤엔 조용해서 잘 잤어요 그래도 생각보단 일 잘 지낸 것 같은데 재방문은 안 할 것 같아요 ,2021-07-02,0.0,1.0,부정
25,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,바깥에서 욕실안 사람의 실루엣이 좀 보여서 당황했지만 잘 가려서 무난했습니당~~,바깥에서 욕실 안 사람의 실루엣이 좀 보여서 당황했지만 잘 가려서 무난했습니다,2021-06-30,1.0,0.0,긍정
26,더 베스트 제주 성산(구 라마다 앙코르 성산),3.0,다좋은데 방음이 진짜안대요ㅠㅠㅠㅠ,다 좋은데 방음이 진짜 안대요,2021-06-30,0.0,0.0,긍정
27,더 베스트 제주 성산(구 라마다 앙코르 성산),4.0,"성산일출봉도 보이고 건물내에
편의점도 있어 편했어요 대체적으로 깨끗하고 만족스러웠습니다!! 나가서 바다보며 걷기도 좋고 잘 쉬다갑니다",성산일출봉도 보이고 건물 내에 편의점도 있어 편했어요 대체적으로 깨끗하고 만족스러웠습니다 나가서 바다 보며 걷기도 좋고 잘 쉬다 갑니다,2021-06-30,1.0,1.0,긍정
28,더 베스트 제주 성산(구 라마다 앙코르 성산),4.0,"렌트를 사용 안하고 버스로 이동하였는데 호텔 위치가 좋아 대중교통으로도 접근하기 좋고,
내부 시설도 만족합니다. 스텝 또한 친절합니다.
다음번 올레길 갈때 또 이용할겁니다.",렌트를 사용 안 하고 버스로 이동하였는데 호텔 위치가 좋아 대중교통으로도 접근하기 좋고 내부 시설도 만족합니다 스텝 또한 친절합니다 다음번 올레길 갈 때 또 이용할 겁니다,2021-06-26,1.0,1.0,긍정
29,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,오션뷰=성산일출봉뷰에요 근처 볼곳이 차로 가까워서 좋아요,오션경치 성산일출봉 경치에요 근처 볼 곳이 차로 가까워서 좋아요,2021-06-24,1.0,1.0,긍정
30,더 베스트 제주 성산(구 라마다 앙코르 성산),3.0,깨끗한건 좋아요 근데 생각보다 방이 작아요ㅠㅠ조식은 절대비추!!!!차라리 편의점가세요…,깨끗한 건 좋아요 근데 생각보다 방이 작아요 조식은 절대 비추 차라리 편의점 가세요,2021-06-24,0.0,1.0,부정
31,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,시설 굉장히 좋습니다. 아침 뷔페도 나쁘지않았구요. 꼭 오션뷰로 잡으세요. 후회 안해요,시설 굉장히 좋습니다 아침 뷔페도 나쁘지 않았고요 꼭 오션경치로 잡으세요 후회 안 해요,2021-06-23,1.0,1.0,긍정
32,더 베스트 제주 성산(구 라마다 앙코르 성산),4.0,"친구들과 퇴임 기념여행이었는데, 아주 좋았습니다.",친구들과 퇴임 기념 여행이었는데 아주 좋았습니다,2021-06-23,1.0,0.0,긍정
33,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,성산일출봉 뷰로 편안하고 깨끗하게 잘쉬었다 왔습니다,성산일출봉 경치로 편안하고 깨끗하게 잘 쉬었다 왔습니다,2021-06-20,1.0,1.0,긍정
34,더 베스트 제주 성산(구 라마다 앙코르 성산),4.0,위치는 성산일출봉 가까이있어 너무 좋았구 뷰는없지만 시설도 깔끔하니 괜찮았고 편의점도 아래 바로 있어 좋았습니다. 다만 에어컨틀때 소음이 너무 커서 문의했더니 오셔서 봐주시긴했는데 이게 처음엔 괜찮더니 나중엔 똑같더라구요ㅠㅠㅠ 그것만 아쉬웠습니다,위치는 성산일출봉 가까이 있어 너무 좋았고 경치는 없지만 시설도 깔끔하니 괜찮았고 편의점도 아래 바로 있어 좋았습니다 다만 에어컨 틀 때 소음이 너무 커서 문의했더니 오셔서 봐주시긴 했는데 이게 처음엔 괜찮더니 나중엔 똑같더라고요 그것만 아쉬웠습니다,2021-06-18,1.0,1.0,긍정
35,더 베스트 제주 성산(구 라마다 앙코르 성산),4.0,좋습니다. 야외 주차장이 있고. 티비는 좀 별로임. 다음에 다시와도 ㄱㅊ을듯,좋습니다 야외 주차장이 있고 티브이는 좀 별로임 다음에 다시 와도 을 뜻,2021-06-17,1.0,1.0,긍정
36,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,"가성비 최고예요!!
다음에 가도 또 묵을 것 같네용ㅎㅎㅎㅎ
추천합니다", 구성비  최고예요 다음에 가도 또 묵을 것 같네요 추천합니다,2021-06-14,1.0,0.0,긍정
37,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,"잘 머물다 갑니다
그러나 숙소가 기본인원수에 비해 좀 작았고 전등을 켜도 그리 밝지 않아서 불편했어요 프론트직원분들은 친절하고 1층에 세븐일레븐과 가까운곳에 광치기해변과 스타벅스, 맛나식당 등이 가까워서 좋았습니다",잘 머물다 갑니다 그러나 숙소가 기본 인원수에 비해 좀 작았고 전등을 켜도 그리 밝지 않아서 불편했어요 프런트 직원분들은 친절하고 층에 세븐일레븐과 가까운 곳에 광치기 해변과 스타벅스 맛나 식당 등이 가까워서 좋았습니다,2021-06-13,1.0,1.0,긍정
38,더 베스트 제주 성산(구 라마다 앙코르 성산),4.0,나쁘지 않았어요. 객실에서 뭔가 냄새가 나긴 했는데 환기하니 괜찮더라구요.,나쁘지 않았어요 객실에서 뭔가 냄새가 나긴 했는데 환기하니 괜찮더라고요,2021-06-13,1.0,1.0,긍정
39,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,"깔끔하고 침구류가 푹신해서 좋았어요
수영장 안해서 넘아쉬워요 ㅜㅜㅜㅜ",깔끔하고 침구류가 푹신해서 좋았어요 수영장 안 해서 너무 아쉬워요,2021-06-13,1.0,1.0,긍정
40,더 베스트 제주 성산(구 라마다 앙코르 성산),4.0,가성비 좋았습니다! 가족여행 할때 괜찮을듯요, 구성비  좋았습니다 가족여행할 때 괜찮을 듯요,2021-06-10,1.0,0.0,긍정
41,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,너무너무 좋아요 ㅠㅠ 급하게 예약하느라 전날 저렴하게 예약해서 기대 안했는데 위치도 좋고 건물도 크고 깨끗하고 프론트 직원분들도 너무친절하고 체크인시배정이라 기대안했는데 오션뷰 주셔서 정말 너무 감사했어요..!❤️나중엔 돈 주고 오션뷰로 갈정도로 뷰가 너무 이뻐요 ..! 체크인부터 너무 기분이 좋아서 하루시작이 완벽했습니다 또 성산에 오게되면 무조건 여기로 올거에요!! 너무 기분좋게 잘 있다가요!!,너무너무 좋아요  급하게 예약하느라 전날 저렴하게 예약해서 기대 안 했는데 위치도 좋고 건물도 크고 깨끗하고 프런트 직원분들도 너무 친절하고 체크인 시 배정이라 기대 안 했는데 오션경치 주셔서 정말 너무 감사했어요 나중엔 돈 주고 오션경치로 갈 정도로 경치가 너무 이뻐요  체크인부터 너무 기분이 좋아서 하루 시작이 완벽했습니다 또 성산에 오게 되면 무조건 여기로 올 거예요 너무 기분 좋게 잘 있다가요,2021-06-08,1.0,1.0,긍정
42,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,예전에도 한번 묵고 다시 왔는데 서비스도 그렇고 룸 컨디션도 좋아요~ 방도 넓고 쾌적해요,예전에도 한번 묵고 다시 왔는데 서비스도 그렇고 룸 컨디션도 좋아요 방도 넓고 쾌적해요,2021-06-07,1.0,1.0,긍정
43,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,"성산일출봉이 보이는 위치라 뷰가 마음에 들었고 직원이 친절하며, 전반적으로 시설이 깨끗하고 좋았음
다만, 소파 틈에 쓰레기가 있는등 청결에 대한 디테일은 조금 부족해 아쉬웠음
그것만 빼면 전체적인 느낌은 좋았음!",성산일출봉이 보이는 위치라 경치가 마음에 들었고 직원이 친절하며 전반적으로 시설이 깨끗하고 좋았습니다만 소파 틈에 쓰레기가 있는 등 청결에 대한 디테일은 조금 부족해 아쉬웠음 그것만 빼면 전체적인 느낌은 좋았음,2021-06-04,1.0,1.0,긍정
44,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,직원들이 너무 친절하고 방도 넓고 깨끗해요,직원들이 너무 친절하고 방도 넓고 깨끗해요,2021-06-03,1.0,1.0,긍정
45,더 베스트 제주 성산(구 라마다 앙코르 성산),2.0,냄새가 너무 나서 ㅠㅠ 머리가 아팠어여...,냄새가 너무 나서  머리가 아팠어요,2021-06-03,0.0,0.0,부정
46,더 베스트 제주 성산(구 라마다 앙코르 성산),4.0,"조식 가지수가 많진 않았지만 
가성비 괜찮은 곳이에요^^",조식 가짓수가 많진 않았지만  구성비  괜찮은 곳이에요,2021-06-01,1.0,1.0,긍정
47,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,"침대도 넓고 방도 넓고 깨끗해요 :)
편안히 묵고 왔습니다!",침대도 넓고 방도 넓고 깨끗해요 편안히 묵고 왔습니다,2020-09-03,1.0,0.0,긍정
48,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,깔끔해요 생각보다 방이 쫍은거 말구는 괜찮은가 같으오,깔끔해요 생각보다 방이 좁은 거 말고는 괜찮은가 같으오,2020-09-02,1.0,1.0,긍정
49,더 베스트 제주 성산(구 라마다 앙코르 성산),1.0,"치솔도 없고 ㅠㅠㅠ
방도 생각보다 작아요. 루프탑도 따로 결제해야 하는 그런 곳이에요. 다시는 안 갑니다.
역시 저렴",칫솔도 없고 방도 생각보다 작아요 루프탑도 따로 결제해야 하는 그런 곳이에요 다시는 안 갑니다 역시 저렴,2020-08-31,0.0,1.0,긍정
50,더 베스트 제주 성산(구 라마다 앙코르 성산),3.0,방이 생각보다 작고 딱 들어오자마자 습했어요 확실히 오래돼서 오래된느낌들지만 가성비는 나쁘지않습니다,방이 생각보다 작고 딱 들어오자마자 습했어요 확실히 오래돼서 오래된 느낌 들지만  구성비 는 나쁘지 않습니다,2020-08-31,0.0,0.0,부정
51,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,"풀장에서 일출봉 보입니다 ㄲㅋㅋㅋ  깨끗해요  침실은ㅋㅋ
풀장은 너무애기들노는곳 하하핫",풀장에서 일출봉 보입니다   깨끗해요  침실은 풀장은 너무 아기들 노는 곳 하하핫,2020-08-24,1.0,1.0,긍정
52,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,"루프탑 수영장 맘에들었어요
호텔리어분들도 친절했고 요청사항을 바로 대처해주셔서 좋았습니다
맥주좋아하시는분들은 3천원 1층 펍이용하면 좋을거에요 ,분위기도좋았어요
1층 편의점도 오래 열어있고, 만족했습니다",루프탑 수영장 맘에 들었어요 호텔리어 분들도 친절했고 요청사항을 바로 대처해주셔서 좋았습니다 맥주 좋아하시는 분들은 천원 층 펍 이용하면 좋을 거예요 분위기도 좋았어요 층 편의점도 오래 열어있고 만족했습니다,2020-08-23,1.0,1.0,긍정
53,더 베스트 제주 성산(구 라마다 앙코르 성산),4.0,방음이별로여서 그것말고는 괜찮습니다,방음이 별로여서 그것 말고는 괜찮습니다,2020-08-19,1.0,0.0,긍정
54,더 베스트 제주 성산(구 라마다 앙코르 성산),1.0,"객실업 했는데 전부 그게그거, 조식은...그냥 근처가서 드세요~",객을 업 했는데 전부 그게 그거 조식은 그냥 근처 가서 드세요,2020-08-19,0.0,1.0,긍정
55,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,"성산일출봉이 한눈에 보이고 아침 일찍 눈만 뜨면 침대에서 바로 일출을 볼 수 있어요 👍 성산일출봉 옆으로는 바다도 보이구요. 일층에 바로 편의점도 있어서 편해요.

주차장은 1층, 지하1층, 길건너 야외주차장이 있는데 매우 협소해요. 그래도 주차할 수 있게끔 안내해주셔서 테트리스 끼워맞추듯 다행히 잘 주차했어요. 😖

숙소 앞으로는 광치기해변이 있고 주변에 은근 맛집들이 있어서 차 두고 걸어서 관광하기에도 좋은 것 같아요!

시설이나 청소는 넘 잘되어있어서 좋았지만, 엘레베이터에 냉방이 안되서 사람들이 많이 타있을때는 쫌 더웠어요 😅더보기",성산일출봉이 한눈에 보이고 아침 일찍 눈만 뜨면 침대에서 바로 일출을 볼 수 있어요  성산일출봉 옆으로는 바다도 보이고요 일층에 바로 편의점도 있어서 편해요 주차장은 층 지하층 길 건너 야외주차장이 있는데 매우 협소해요 그래도 주차할 수 있게끔 안내해주셔서 테트리스 끼워 맞추듯 다행히 잘 주차했어요 숙소 앞으로는 광치기 해변이 있고 주변에 은근 맛 집들이 있어서 차 두고 걸어서 관광하기에도 좋은 것 같아요 시설이나 청소는 너무 잘 되어있어서 좋았지만 엘리베이터에 냉방이 안돼서 사람들이 많이 타있을 때는 좀 더웠어요 ,2020-08-16,1.0,1.0,긍정
56,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,"우도와 성산쪽에서 며칠 보내기 위해 연박을 했는데, 잠시 나갔다 온 사이에
쓰레기통과 수건, 생수 정도 교체되었다.
장점- 편의점 있음 / 교통 편리/ 로비 여자 직원분 매우 친절
단점- 룸 내 냉장고소리가 너무큼;",우도와 성산 쪽에서 며칠 보내기 위해 연방을 했는데 잠시 나갔다 온 사이에 쓰레기 통과 수건 생수 정도 교체되었다 장점 편의점 있음  교통 편리 로비 여자 직원분 매우 친절 단점 룸 내 냉장고 소리가 너무 큼,2020-08-13,1.0,1.0,긍정
57,더 베스트 제주 성산(구 라마다 앙코르 성산),4.0,"객실 크고 깨끗하고 좋았습니다
1층에 편의점도 있고 이용하진 않았지만 풀도있구용
근데 객실내에 거울이 화장실쪽만 있어서ㅜㅜ
그게 좀 아쉬워요 그리고 채널이 진짜 없네요ㅋㅋ 
정규방송만 ㅋㅋ 근데 티비보려고 오는곳은 아니니까용
조식패키지 했는데 평범했어요! 
완전 좋은곳 아니고서야 다 비슷하더라구용 
코로나수칙 철저하게 하시고 맛나게 식사했습니다ㅎㅎ
그래도 한번쯤 가보기 좋은곳이에요
명소들이랑 가깝고 주변에 둘러볼곳도 많아요!더보기",객실 크고 깨끗하고 좋았습니다 층에 편의점도 있고 이용하진 않았지만 풀도 있고 요 근데 객실 내에 거울이 화장실 쪽만 있어서 그게 좀 아쉬워요 그리고 채널이 진짜 없네요 정규방송만  근데 티브이 보려고 오는 곳은 아니니까 용조식 패키지 했는데 평범했어요 정말 좋은 곳 아니고서야 다 비슷하더라고요 코로나 수칙 철저하게 하시고 맛나게 식사했습니다 그래도 한 번쯤 가보기 좋은 곳이에요 명소들이랑 가깝고 주변에 둘러볼 곳도 많아요 ,2020-08-06,1.0,1.0,긍정
58,더 베스트 제주 성산(구 라마다 앙코르 성산),4.0,좋긴좋은데 방음이 1도안됩니다 옆방 콘센트 꽂는 소리까지 다들려요,좋긴 좋은데 방음이 도안됩니다 옆방 콘센트 꽂는 소리까지 다 들려요,2020-08-05,1.0,1.0,부정
59,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,"맛집, 카페, 펍이 있어 좋았습니다",맛집 카페 펍이 있어 좋았습니다,2020-08-04,1.0,0.0,긍정
60,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,루프탑도 좋고 친절하셔서 넘 조아씀 ㅎㅎ,루프탑도 좋고 친절하셔서 넘보아 씀,2020-08-01,1.0,0.0,긍정
61,더 베스트 제주 성산(구 라마다 앙코르 성산),2.0,"청소 안하죠? 그래도호텔인데 대실을하나요? 
욕실에 머리카락떨어져있고 사이드쪽에 먼지는 잔뜩. 
치치약칫솔사야하는건 채크인시 미리안내해주새요~ 프론트분들~~~",청소 안 하죠 그래도 호텔인데 대실을 하나요 욕실에 머리카락 떨어져 있고 사이드 쪽에 먼지는 잔뜩 치치 약 칫솔 사야 하는 건 체크인 시 미리 안내해주세요 프런트 분들,2020-07-28,0.0,1.0,부정
62,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,"아주 좋아요ㅎㅎㅎㅎ
진짜 좋아요",아주 좋아요 진짜 좋아요,2020-07-28,1.0,0.0,긍정
63,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,친절하고 호텔에서 성산일출봉 보여요 :) 추천이요^^,친절하고 호텔에서 성산일출봉 보여요  추천이요,2020-07-26,1.0,0.0,긍정
64,더 베스트 제주 성산(구 라마다 앙코르 성산),5.0,"수영장 이용하고 싶었지만, 사용시간이 짧아서 아쉬워요",수영장 이용하고 싶었지만 사용시간이 짧아서 아쉬워요,2020-07-26,1.0,0.0,긍정
