,hotel,star,review,preprocessed_review,date
26,아트스테이 서귀포 하버,1,"주차장협소 늦게 들어가면 주차장 입구까지 차가 삐져나와있음
베란다난간아주낡음
오션뷰라는데 사진을 찍어도 녹슨난간때문에 숙소 후진느낌남 뷰는 좋은데 난간때문이 감성와르르 무너짐
구지꼽자면 올레시장 가까운것뿐
여직원 불친절 계속 화가나잇음
이틀 연박해서 조식1회무료 준다는데 체크인할때 언제 먹을꺼냐 물어봐서 일정조절하려고 짐풀고 있다 얘기하면 안되냐고 하니 짜증난 얼굴로 이유도 설명없이 단박이 안된다며ㅡㅡ 덕분에 체크인부터 기분 잡침
코로나때문에 인원 파악중인건지 어쩐건지 설명을 해주면 누가 징징 떼쓰나..겁나 사무적임
cs교육 안되있는것 같음
첫날 함덕점은 좋은 기억 가져가라며 서로 웃으면서 대화하고 엄청 친절했는데 여긴별로 
핸드폰안터짐!!!!!!!!! 둘다 아이폰쓰는데 안테나 1-2개 겨우뜨고 통화계속 끊겨서 어디 섬나라 오지도 아니고 당황 이틀내내ㅡㅡ
그냥 와이파이 잡아서 썻는데 이건뭔지...
방음안되서 문쾅쾅소리에 기겁하고 몇번씩 일어남 
모기 겁나 많음 방충망이 제기능을 하는지 모르겟음
다신 가고싶지않음더보기",주차장 협소 늦게 들어가면 주차장 입구까지 차가 삐져나와있음 베란다 난간 아주 낡음 오션경치라는데 사진을 찍어도 녹슨 난간 때문에 숙소 후진 느낌 남 경치는 좋은데 난간 때문이 감성 와르르 무너짐 굳이 꼽자면 올레시장 가까운 것뿐 여직원 불친절 계속 화가 나있음이 틀 면박해서 조식회 무료 준다는데 체크인할 때 언제 먹을 거냐 물어봐서 일정 조절하려고 짐 풀고 있다 얘기하면 안 되냐고 하니 짜증 난 얼굴로 이유도 설명 없이 단박이 안된다며 덕분에 체크인부터 기분 잡침 코로나 때문에 인원 파악 중인 건지 어쩐 건지 설명을 해주면 누가 징징 떼쓰나 겁나 사무적임 교육 안 돼있는 것 같음 첫날 함덕점은 좋은 기억 가져가라며 서로 웃으면서 대화하고 엄청 친절했는데 여긴 별로 핸드폰 안 터짐 둘 다 아이폰 쓰는데 안테나 개 겨우 뜨고 통화 계속 끊겨서 어디 섬나라 오지도 아니고 당황 이틀 내내 그냥 와이파이 잡아서 썼는데 이건 뭔지 방음 안돼서 문 쾅쾅 소리에 기겁하고 몇 번씩 일어남 모기 겁나 많음 방충망이 제 기능을 하는지 모르겠음 다신 가고 싶지 않음 ,2020-11-23
27,아트스테이 서귀포 하버,5,"제주도 놀러와서 좋은곳 발견했네요
잘 쉬다갑니다.",제주도 놀러 와서 좋은 곳 발견했네요 잘 쉬다 갑니다,2020-11-23
28,아트스테이 서귀포 하버,5,"가격대비 컨디션 좋고 주변에 맛집이 많아서 매우만족합니다
조식도 무료로 맛나게 잘먹었습니다",  구성비   컨디션 좋고 주변에 맛 집이 많아서 매우 만족합니다 조식도 무료로 맛나게 잘 먹었습니다,2020-11-22
29,아트스테이 서귀포 하버,5,"위치,가격 다 마음에듭니다
조식도 무료로 매우 만족하게 잘먹었습니다",위치 가격 다 마음에 듭니다 조식도 무료로 매우 만족하게 잘 먹었습니다,2020-11-22
30,아트스테이 서귀포 하버,4,프론트 여직원이 좀 화가 많은분인듯 숙소는 깔끔하고 조식부페도 맛나게 먹음 침대도 편했음,프런트 여직원이 좀 화가 많은 분인 듯 숙소는 깔끔하고 조식 뷔페도 맛나게 먹음 침대도 편했음,2020-11-20
31,아트스테이 서귀포 하버,4,"서귀포시에 위치해 있어서 접근성은 좋고, 
시설도 깨끗한 편이라 투숙객이 많이 머물다보니까 주차공간이 다소 부족합니다.
그런데 이것도 직원들이 부지런히 뛰어다니면서 발렛파킹까지 해 주어서 편하게 머물다가 갑니다.
실내에 편의점이 없지만 10m옆에 편의점이 있고 서귀포 재래시장도 걸어가볼 만큼 가깝습니다.",서귀포시에 위치해 있어서 접근성은 좋고 시설도 깨끗한 편이라 투숙객이 많이 머물다 보니까 주차공간이 다소 부족합니다 그런데 이것도 직원들이 부지런히 뛰어다니면서 발레파킹까지 해 주어서 편하게 머물다가 갑니다 실내에 편의점이 없지만 옆에 편의점이 있고 서귀포 재래시장도 걸어가 볼 만큼 가깝습니다,2020-11-18
32,아트스테이 서귀포 하버,4,"위치 너무 좋습니다. 주요 관광지(올레시장, 이중섭거리, 정방폭포 등) 보도로가기 편하네요. 숙소 컨디션도 좋고 저희가 묵은 방은 욕조가 있어 편했습니다. 다만, 주차장이 좁아서 불편하네요. 그리고 밤에 냉장고랑 히터? 에서 생각보다 소리가 크게나서 불편했습니다. 전체적으로 가격대비 괜찮은 숙소였습니다.",위치 너무 좋습니다 주요 관광지 올레시장 이중섭거리 정방폭포 등 보도로 가기 편하네요 숙소 컨디션도 좋고 저희가 묵은 방은 욕조가 있어 편했습니다 다만 주차장이 좁아서 불편하네요 그리고 밤에 냉장고랑 히터에서 생각보다 소리가 크게 나서 불편했습니다 전체적으로   구성비   괜찮은 숙소였습니다,2020-11-16
33,아트스테이 서귀포 하버,5,"스탠다드 트윈은 4층객실이 젤 높은편인가 봄.
L층이 출입구층임.
난방 정말 굿(바닥난방, 천장에도 난방, 침대도 난방 되는듯 했어요. 다음날 타숙소 난방 전혀 안됨.)
침대사이 협탁에 핸드폰 충전 각각 할수 있음.
(충전기 가셔가셔야함)
만실인듯 보였는데 조용했음.
(화장실 자동 물내림기능 있는데,
소음이 조용한 편임)
다회용 슬리퍼있음
치솔 ㆍ치약ㆍ1회용면도기 없음.
샤워 수압 굿.
화장실 발수건 있음.
지하 주차장 만차시 길건너에 주차(아트 스테이호텔의 전용주차장입니다)가능해서 좋았음.
조식:커피머신의 커피 좋았어요.빵도 나쁘지 않아요.
         미니 크로와상은 없음
뷰:차도(호텔입구)쪽
작지만 테라스도 있었어요.(티테이블 같은건 없음)

난방온도 낮게 설정 해두고, 
환기 되게 창문열어 두고
세면대 물기 없는 곳에 사용한 수건 올려둠
(근처 타호텔에서 겪은일인데요.
호텔 방에 조개+라면 먹고 다음 사람 입실하면,
냄새가 토할것 같음.
퇴실시 침대위에 수건 잔뜩 올려두면 침대가 눅눅 꿉꿉)더보기",스탠더드 트윈은 층객실이 젤 높은 편인가 봄 층위 출입구층임 난방 정말 굿 바닥난방 천장에도 난방 침대도 난방 되는듯했어요 다음날 타숙소 난방 전혀 안됨 침대 사이 협탁에 핸드폰 충전 각각 할 수 있음 충전기 가셔 가셔야 함만 실은 듯 보였는데 조용했음 화장실 자동 물 내림이 능 있는데 소음이 조용한 편임다 회용 슬리퍼 있음 칫솔 치약회용 면도기 없음 샤워 수압 굿 화장실 발수건 있음 지하 주차장 만차 시 길 건너에 주차 아트 스테이 호텔의 전용 주차장입니다 가능해서 좋았음 조식 커피 머신의 커피 좋았어요 빵도 나쁘지 않아요         미니 크루아상은 없음경치차도호텔입구쪽작지만 테라스도 있었어요 티 테이블 같은 건 없음 난방온도 낮게 설정해두고 환기 되게 창문 열어 두고 세면대 물기 없는 곳에 사용한 수건 올려둠 근처 차 호텔에서 겪은 일인데요 호텔 방에 조개 라면 먹고 다음 사람 입실하면 냄새가 토할 것 같음 퇴실 시 침대 위에 수건 잔뜩 올려두면 침대가 눅눅 꿉꿉더보기,2020-11-15
34,아트스테이 서귀포 하버,5,깔끔하고 좋았습니다. 쓰레기가 안버려져 있어 말씀드렸더니 바로 치워주시네요,깔끔하고 좋았습니다 쓰레기가 안 버려져 있어 말씀드렸더니 바로 치워주시네요,2020-11-12
35,아트스테이 서귀포 하버,5,위치 너무 좋습니다. 천지연폭포랑도 가깝고 바로 앞에 바다가 있어 뷰도ㅠ좋았네요 그런데 침구류가 좀 예전꺼 같습니다. 체크아웃날 침대커버가 구멍뚫여잇는걸 확인했네요 그거 외에는 가성비 최고의 호텔입니다 잘 쉬다가네요,위치 너무 좋습니다 천지연폭포랑도 가깝고 바로 앞에 바다가 있어 경치도 좋았네요 그런데 침구류가 좀 예전 거 같습니다 체크아웃 날 침대커버가 구멍 뚫어 잇는 걸 확인했네요 그거 외에는   구성비   최고의 호텔입니다 잘 쉬다 가네요,2020-11-11
36,아트스테이 서귀포 하버,5,위치는 좋았지만 바닥카펫에서 먼지가 좀... 많네요...ㅎㅎ,위치는 좋았지만 바닥 카펫에서 먼지가 좀 많네요,2020-11-11
37,아트스테이 서귀포 하버,5,"아이들과 지내기에 깨끗하고 아늑한 숙소였어요 
2주전에 너무 만족하고 지내고 가서 
이번 부모님 여행에고 예약해드렸어요 
역시 친절하고 좋다고 만족한다고 하시네요 ^^",아이들과 지내기에 깨끗하고 아늑한 숙소였어요 주전에 너무 만족하고 지내고 가서 이번 부모님 여행 에고 예약해드렸어요 역시 친절하고 좋다고 만족한다고 하시네요 ,2020-11-08
38,아트스테이 서귀포 하버,5,창밖으로 바다가 펼쳐지는 좋은 풍경이 인상적인 숙소였습니다,창밖으로 바다가 펼쳐지는 좋은 풍경이 인상적인 숙소였습니다,2020-11-08
39,아트스테이 서귀포 하버,5,숙소 깔끔하고 뷰도 좋았습니다. 올레시장과 거리가 가까워 이것저것 장봐서 호텔에서 먹었습니다! 무조건 오션뷰로 예약하세요~,숙소 깔끔하고 경치도 좋았습니다 올레시장과 거리가 가까워 이것저것 장 봐서 호텔에서 먹었습니다 무조건 오션경치로 예약하세요,2020-11-08
40,아트스테이 서귀포 하버,5,"룸도 깨끗하고 건물 내외부 모두 깔끔하고 좋네요
주차시설도 넓구요 다음 제주도 방문때 다시 오겠습니다",룸도 깨끗하고 건물 내외부 모두 깔끔하고 좋네요 주차시설도 넓고요 다음 제주도 방문 때 다시 오겠습니다,2020-11-06
41,아트스테이 서귀포 하버,4,"일몰,일출 제일 높은층서 묵었는데 바로앞 오션뷰 최고였어요 다음에도 꼭 가고싶어요 발코니 스파도 좋았어요. 화장실 청소상태는 조금 아쉬웠어요",일몰 일출 제일 높은 층서 묵었는데 바로 앞 오션경치 최고였어요 다음에도 꼭 가고 싶어요 발코니 스파도 좋았어요 화장실 청소상태는 조금 아쉬웠어요,2020-11-06
42,아트스테이 서귀포 하버,4,깔끔하고 일출 볼 수 있어서 좋네요,깔끔하고 일출 볼 수 있어서 좋네요,2020-11-05
43,아트스테이 서귀포 하버,5,깨끗하고 너무좋았어요! 아침 뷰도 너무 좋더라구요ㅎ 물소리가 조금 들리긴했지만 많이 거슬리지는 않았던것같아요!!,깨끗하고 너무 좋았어요 아침 경치도 너무 좋더라고요 물소리가 조금 들리긴 했지만 많이 거슬리지는 않았던 것 같아요,2020-11-05
44,아트스테이 서귀포 하버,5,"처음으로 연박을 해봤는데 너무 직원분들 친절하고 편하게 지내다가 온거 같네요.
시설도 깨끗해서 좋았어요.",처음으로 연방을 해봤는데 너무 직원분들 친절하고 편하게 지내다가 온 거 같네요 시설도 깨끗해서 좋았어요,2020-10-30
45,아트스테이 서귀포 하버,5,"생각보다 너무 깨끗하고 편안하고 좋았습니다
근처 올레시장과 가까워 굳",생각보다 너무 깨끗하고 편안하고 좋았습니다 근처 올레시장과 가까워 굳,2020-10-29
46,아트스테이 서귀포 하버,5,주변에 시장 편의점 식당등 접근성 좋아요,주변에 시장 편의점 식당 등 접근성 좋아요,2020-10-26
47,아트스테이 서귀포 하버,4,여행와서 편하게 잘 쉬다 갑니다,여행 와서 편하게 잘 쉬다 갑니다,2020-10-25
48,아트스테이 서귀포 하버,5,숙소도 깔끔하고 위치도 좋아요,숙소도 깔끔하고 위치도 좋아요,2020-10-25
49,아트스테이 서귀포 하버,5,시설이 너무 깔끔하구요. 주차도 편해서 아주 좋았습니다,시설이 너무 깔끔하고요 주차도 편해서 아주 좋았습니다,2020-10-22
50,아트스테이 서귀포 하버,5,뷰좋고 객실도 깨끗하고 잘 쉬다갑니다,경치 좋고 객실도 깨끗하고 잘 쉬다 갑니다,2020-10-21
51,아트스테이 서귀포 하버,3,위치와 가격은 좋은것 같아요.단지 주차하는건 너무 힘든것 같아요. 그리고 와인잔서비스도 제공되면 좋을것 같아요,위치와 가격은 좋은 것 같아요 단지 주차하는 건 너무 힘든 것 같아요 그리고 와인 잔 서비스도 제공되면 좋을 것 같아요,2020-10-21
52,아트스테이 서귀포 하버,5,가격대비 전체적으로 만족스러웠던 서귀포 하버 서귀포 관광지 방문하기에도 좋은 위치입니다. 객실 인테리어도 차분하고 깔끔하고 침구 상태 굿 입니다 .  테라스가 있어서 풍경도 즐기고 넘 좋았어요,  구성비   전체적으로 만족스러웠던 서귀포 하버 서귀포 관광지 방문하기에도 좋은 위치입니다 객실 인테리어도 차분하고 깔끔하고 침구 상태 굿입니다   테라스가 있어서 풍경도 즐기고 너무 좋았어요,2020-10-20
53,아트스테이 서귀포 하버,3,편의점 가깝고 올레시장 가깝고 편의성은 좋아요 바다 보이긴 하나 사실 오션뷰라고 하기에는 바다가 너무 멀어요... 오션뷰는 큰기대 마시길.. 면도기 없어요 칫솔 없어요 치약 없어요 샤워타월 없어요 뭐 일회용품규정상 없다하는데 병따개없어요 병따개는 일회용품 아닌데 와인도 안파나 ㅎ 와인오프너 하나 없게 ㅎㅎ 빌려주지도 않고 없대요 ㅎ 참고 하시길...그냥 가격 그대로의 숙소네요 참고로 10시 이후엔 뭐 필요한거 있음 직접 가져가래요 모텔같은데 호텔이네 4성...,편의점 가깝고 올레시장 가깝고 편의성은 좋아요 바다 보이긴 하나 사실 오션경치라고 하기에는 바다가 너무 멀어요 오션경치는 큰 기대 마시길 면도기 없어요 칫솔 없어요 치약 없어요 샤워타월 없어요 뭐 일회용품 규정상 없다 하는데 병따개 없어요 병따개는 일회용품 아닌데 와인도 안 파나  와인 오프너 하나 없게  빌려주지도 않고 없대요  참고하시길 그냥 가격 그대로의 숙소네요 참고로 시 이후엔 뭐 필요한 거 있음 직접 가져가래요 모텔 같은데 호텔이네 성,2020-10-16
54,아트스테이 서귀포 하버,4,"숙소 위치는 너무 좋았습니다
주차장도 넓어서 주차하기 편리했고(제주도 호텔 치고) 둘쨋날은 주차공간이 없어서 외부 주차장 알려주셔서 주차했습니다.

체크인할때 직원이 불친절 해서 별로였습니다

숙소청결도는 그냥저냥 깨끗했고, 오래되어서 어쩔수 없는 부분이라고 생각됩니다
가격대비 괜찮았습니다!더보기",숙소 위치는 너무 좋았습니다 주차장도 넓어서 주차하기 편리했고 제주도 호텔 치고 둘째 날은 주차공간이 없어서 외부 주차장 알려주셔서 주차했습니다 체크인할 때 직원이 불친절해서 별로였습니다 숙소 청결 도는 그냥저냥 깨끗했고 오래되어서 어쩔 수 없는 부분이라고 생각됩니다   구성비   괜찮았습니다 ,2020-10-16
55,아트스테이 서귀포 하버,4,좋습니다 다만 바닥이 카펫이라 약간 찝찝하네요,좋습니다 다만 바닥이 카펫이라 약간 찝찝하네요,2020-10-14
56,아트스테이 서귀포 하버,4,"대체적으로 만족했습니다
올레시장과 가까워서 좋았구요 주변에 맛집도 많았습니다 바로 옆에 편의점 있어 여러모로 접근성도 좋습니다
측면 오션뷰였는데 새벽에 잠깐 눈 떴을때 본 일출은 정말 환상이었습니다 비몽사몽한채로 한참을 넋 놓고 바라보다 사진 찍었어용ㅎㅎ
다음번 제주 여행에도 재방문할 의사 있습니당",대체적으로 만족했습니다 올레시장과 가까워서 좋았고요 주변에 맛 집도 많았습니다 바로 옆에 편의점 있어 여러모로 접근성도 좋습니다 측면 오션경치였는데 새벽에 잠깐 눈 떴을 때 본 일출은 정말 환상이었습니다 비몽사몽한 채로 한참을 넋 놓고 바라보다 사진 찍었어요 다음번 제주 여행에도 재방문할 의사 있습니다,2020-10-12
57,아트스테이 서귀포 하버,3,"오션뷰라고 해서 갔는데 실제로 오션뷰는 추가요금을 내야되네요
미리 안내를 해줬으면 합니다",오션경치라고 해서 갔는데 실제로 오션경치는 추가요금을 내야 되네요 미리 안내를 해줬으면 합니다,2020-10-10
58,아트스테이 서귀포 하버,5,주차가 어려운거 말고는 좋았어요,주차가 어려운 거 말고는 좋았어요,2020-10-08
59,아트스테이 서귀포 하버,5,"근처에 시장이 있어서 음식 사와서 먹고 
객실 깔끔하고 좋았어요
잘 쉬다 갑니다",근처에 시장이 있어서 음식 사 와서 먹고 객실 깔끔하고 좋았어요 잘 쉬다 갑니다,2020-10-07
60,아트스테이 서귀포 하버,5,"깨끗하고 화장실이 넓어서 좋아요
헬스장도 있네요!! 
주변에 편의점도 있구 귣귣",깨끗하고 화장실이 넓어서 좋아요 헬스장도 있네요 주변에 편의점도 있고 귣귣,2020-10-06
61,아트스테이 서귀포 하버,5,전망 좋은 룸에서 잘 며물렀습니다,전망 좋은 룸에서 잘 머물렀습니다,2020-10-05
62,아트스테이 서귀포 하버,5,깔끔하고 좋았어요 . 다만 주차장이 진짜 좁아요,깔끔하고 좋았어요  다만 주차장이 진짜 좁아요,2020-10-04
63,아트스테이 서귀포 하버,4,"침구류 업그레이드 되면 좋겟습니다
예민한편이 아닌데  .. 까칠까칠하여 불편함",침구류 업그레이드되면 좋겠습니다 예민한 편이 아닌데   까칠까칠하여 불편함,2020-10-04
64,아트스테이 서귀포 하버,5,올레시장 근처고 걸어서 바다를 볼수 있는 위치에 있어서 좋았습니다. 저녁에 자구리공원 산책 추천합니다.,올레시장 근처고 걸어서 바다를 볼 수 있는 위치에 있어서 좋았습니다 저녁에 다구리 공원 산책 추천합니다,2020-10-03
65,아트스테이 서귀포 하버,5,해변 보이고 시원한 바람 불어서 만족합니다 ㅎㅎ,해변 보이고 시원한 바람 불어서 만족합니다 ,2020-09-30
66,아트스테이 서귀포 하버,4,"비데없고 성산이랑 우도는 걸어갈수있을정도
교통은 접근성이 좋은편..
혼자 쓰기에 딱 좋음..",비데 없고 성산이랑 우도는 걸어갈 수 있을 정도 교통은 접근성이 좋은 편 혼자 쓰기에 딱 좋음,2020-09-25
67,아트스테이 서귀포 하버,5,차로 가시면 주차가 살짝 불편한거..(내려오는길에서 비보호 좌회전도 안되는..주차장 내려가는길 너무 좁음) 빼고는 괜찮습니다.,차로 가시면 주차가 살짝 불편한 거 내려오는 길에서 비보호 좌회전도 안되는 주차장 내려가는 길 너무 좁음 빼고는 괜찮습니다,2020-09-23
68,아트스테이 서귀포 하버,5,침구류 및 화장실 등 시설이 좋았습니다 ^^ 입실 시 안내도 친절하셨어요~~~,침구류 및 화장실 등 시설이 좋았습니다  입실 시 안내도 친절하셨어요,2020-09-17
69,아트스테이 서귀포 하버,4,"연박에 조식하루 포함해서 너무 저렴히 잘 있다갑니다.
우선 조식에 스프가 없어서 너무 아쉬웠구요.
나머진 다 맛있게 잘먹었습니다.
룸은 룸컨디션도 좋았고 다 만족했는데 가운이 없어서 너무 놀랬네요. 샤워기수압이 너무 약한점도 조금 아쉬웠어요.
모텔가격으로 4성급 호텔 아주만족합니다
다음에 제주방문하면 서귀포쪽이랑 함덕쪽 아트스테이에 머물의향있습니다.더보기",연박에 조식 하루 포함해서 너무 저렴히 잘 있다 갑니다 우선 조식에 수프가 없어서 너무 아쉬웠고요 나머진 다 맛있게 잘 먹었습니다 룸은 룸 컨디션도 좋았고 다 만족했는데 가운이 없어서 너무 놀랐네요 샤워기 수압이 너무 약한 점도 조금 아쉬웠어요 모텔 가격으로 성급 호텔 아주 만족합니다 다음에 제주 방문하면 서귀포 쪽이랑 함덕 쪽 아트스테이에 먹물의 향 있습니다 ,2020-09-15
70,아트스테이 서귀포 하버,5,관광지랑 정말 가깝고 친절해요! 숙소 컨디션도 무난했어요 가성비좋아요,관광지랑 정말 가깝고 친절해요 숙소 컨디션도 무난했어요   구성비   좋아요,2020-09-12
71,아트스테이 서귀포 하버,5,위치도 좋고 가격도 저렴하고 편히 쉬어요,위치도 좋고 가격도 저렴하고 편히 쉬어요,2020-09-04
72,아트스테이 서귀포 하버,4,"위치는 좋고 방은 습해요 ㅠ 에어컨 틀어 놓으니 습기가 쫙 빠져서 살거같았긴해요~  에어컨은 작동잘해요 !
친절도는 최고 ㅇㅈ
하루묵기는 괜찮은데 슬리퍼신고 다니는 서양식이라
마루바닥같은 펜션좋아하시는 분들은 다소 불편할수있어요",위치는 좋고 방은 습해요  에어컨 틀어 놓으니 습기가 쫙 빠져서 살 거 같았긴 해요  에어컨은 작동 잘해요 친절도는 최고 하루 묵기는 괜찮은데 슬리퍼 신고 다니는 서양식이라 마룻바닥 같은 펜션 좋아하시는 분들은 다소 불편할 수 있어요,2020-08-29
